"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2676","Счётчик заказов за сегодня увеличивается после создания заказа","tests","2026-03-22","broken","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1904","Кнопка показать/скрыть пароль делает поле активным","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
"","1406","Переход в личный кабинет","tests","2026-03-22","broken","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","1419","Переход в историю заказов","tests","2026-03-22","broken","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","9247","Созданный заказ отображается в статусе 'В работе'","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","2143","Открытие ленты заказов","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","2347","Открытие конструктора","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","2095","Открытие ленты заказов","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","2663","Закрытие модального окна ингредиента","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","2061","Открытие модального окна ингредиента","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","2109","Открытие конструктора","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","1832","Переход в личный кабинет","tests","2026-03-22","passed","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","2381","Открытие модального окна заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","2240","Открытие модального окна заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","2654","Переход в историю заказов","tests","2026-03-22","passed","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","3261","Авторизованный пользователь видит заказы в ленте","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","3841","Счётчик увеличивается при добавлении ингредиента","tests","2026-03-22","failed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","6912","Счётчик заказов за сегодня увеличивается после создания заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","4260","Выход из аккаунта","tests","2026-03-22","passed","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","2580","Закрытие модального окна ингредиента","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","4605","Авторизованный пользователь видит заказы в ленте","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","2613","Общий счётчик увеличивается после создания заказа","tests","2026-03-22","broken","2026-03-22","TestOrderFeed","test_order_feed","",""
"","2073","Открытие модального окна ингредиента","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","1791","Ввод email и нажатие кнопки восстановления","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
"","6910","Общий счётчик увеличивается после создания заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1398","Выход из аккаунта","tests","2026-03-22","broken","2026-03-22","TestPersonalAccount","test_personal_account","",""
"","1291","Переход на страницу восстановления пароля","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
"","19020","Созданный заказ отображается в статусе 'В работе'","tests","2026-03-22","broken","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1307","Авторизованный пользователь может создать заказ","tests","2026-03-22","broken","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","3445","Счётчик увеличивается при добавлении ингредиента","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","3858","Авторизованный пользователь может создать заказ","tests","2026-03-22","passed","2026-03-22","TestMainFunctionality","test_main_functionality","",""
"","1189","Переход на страницу восстановления пароля","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
"","1767","Ввод email и нажатие кнопки восстановления","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
"","1753","Кнопка показать/скрыть пароль делает поле активным","tests","2026-03-22","passed","2026-03-22","TestPasswordRecovery","test_password_recovery","",""
